1,arpit,sharma,cf06,5000,4000,9896744563,technoarpitorignal@gmail.com,CSE,senior-foreman,HR06T5468,10.10.1972
2,sushil,sharma,cf-06,5728,4728,9466651531,sushil83143@gmail.com,ECE,officer,HR23415GH,04.07.1967
3,priya,singh,cf-07,5729,4729,9466563532,priya83143@gmail.com,EIE,junior-officer,HP12349GH,03.09.1990
4,mayank,jha,cf-08,5730,4730,9466678533,mayank3143@gmail.com,TELECOM,rank-1-officer,BR12349GT,10.10.1973
5,vinay,pal,cf-09,5731,4731,9345651534,vinay67@gmail.com,F&S,manager,HR23419DH,04.07.1968
6,ram,kumar,cf-10,5732,4732,9231456735,ram143@gmail.com,CSE,managing-director,VK42349GH,03.09.1991
7,suman,manjhi,cf-11,5733,4733,9466634566,suman56@gmail.com,CSE,senior-foreman,BR45649FR,10.10.1974
8,sonam,katiyal,cf-12,5734,4734,9461234537,sonam89@gmail.com,ECE,officer,HR09815GH,04.07.1969
9,snehpriya,kumari,cf-13,5735,4735,9123451538,sp98@gmail.com,EIE,junior-officer,HP12879GH,03.09.1992
10,puja,sharma,cf-14,5736,4736,9466667849,puja345@gmail.com,TELECOM,rank-1-officer,BR86449FR,10.10.1975
11,suraj,chalra,cf-15,5737,4737,9454251540,suraj123@gmail.com,CSE,manager,HR78915GH,04.07.1970
12,rathore,jay,cf-16,5738,4738,9466634532,jay56@gmail.com,ECE,managing-director,HP29549GH,03.09.1993
13,anshu,kumar,cf-17,5739,4739,9345214542,anshu45@gmail.com,EIE,senior-foreman,BR17649FR,10.10.1976
14,jitendra,kumar,cf-18,5740,4740,9127856543,jit678@gmail.com,TELECOM,officer,HR23635GH,04.07.1971
15,priyam,bharti,cf-19,5741,4741,9876551544,priyam3@gmail.com,F&S,junior-officer,HP94649GH,03.09.1994
16,nitisha,agarwal,cf-20,5742,4742,9466651545,nitagr@gmail.com,CSE,rank-1-officer,BR26749FR,10.10.1977
17,priyanka,sinha,cf-21,5743,4743,9466456346,priyanka3@gmail.com,CSE,manager,HR86215GH,04.07.1972
18,sachin,saurav,cf-22,5744,4744,9466651547,sachin1234@gmail.com,ECE,managing-director,HP98249GH,03.09.1995
19,aditya,kumar,cf-23,5745,4745,9466126758,adi4563@gmail.com,EIE,senior-foreman,BR10089FR,10.10.1978
20,prabhat,sinha,cf-24,5746,4746,9467843549,prabhat43@gmail.com,TELECOM,officer,HR00915GH,04.07.1973
21,ritam,priya,cf-25,5747,4747,9466651550,ritam@gmail.com,CSE,junior-officer,HP004349GH,03.09.1996
22,rishi,kumar,cf-26,5748,4748,9466651668,rishi67@gmail.com,CSE,rank-1-officer,BR00049FR,10.10.1979
23,pranjal,singh,cf-27,5749,4749,9578651552,pranjal234@gmail.com,ECE,manager,HR23460GH,04.07.1974
24,anant,singh,cf-28,5750,4750,9662651553,anant67@gmail.com,EIE,managing-director,HP78349GH,03.09.1997
25,natasha,banerjee,cf-29,5751,4751,9466651554,nat1234@gmail.com,TELECOM,senior-foreman,BR00449FR,10.10.1980
26,akshay,anand,cf-30,5752,4752,9675435555,akshay@gmail.com,F&S,officer,HR23915GH,04.07.1975
27,anand,kumar,cf-31,5753,4753,9497651556,anand@gmail.com,CSE,junior-officer,HP89349GH,03.09.1998
28,nitesh,kumar,cf-32,5754,4754,9466651557,nitesh@gmail.com,CSE,rank-1-officer,BR18449FR,10.10.1981
29,ankur,rai,cf-33,5755,4755,987651558,rai.ankur@gmail.com,ECE,manager,HR27615GH,04.07.1976
30,jamit,parekh,cf-34,5756,4756,9466651559,parekh.jamit@gmail.com,EIE,managing-director,HP10049GH,03.09.1999
